sku,oemNumber,name,fits,make,model,yearFrom,yearTo,costPrice,retailPrice,qty,supplier
PLG-GLOW-HIL,19850-0L070,Glow plug — Hilux GD-6 (each),Toyota Hilux|Toyota Fortuner,Toyota,Hilux,2016,2026,185,359,12,Denso
PLG-GLOW-RNG,BK2Q-6M090-AA,Glow plug — Ranger 2.2 (each),Ford Ranger,Ford,Ranger,2012,2022,195,379,8,Motorcraft
COIL-POLO,04C905110B,Ignition coil — Polo 1.0 TSI (each),Volkswagen Polo,Volkswagen,Polo,2018,2024,420,799,6,Bosch Dist
COIL-I20,27301-2B200,Ignition coil — i20 (each),Hyundai i20,Hyundai,i20,2015,2026,310,599,6,Hyundai Mobis
COIL-COROL,90919-02278,Ignition coil — Corolla (each),Toyota Corolla,Toyota,Corolla,2014,2019,380,729,4,Denso
BLT-SERP-HIL,90916-02718,Serpentine belt — Hilux GD-6,Toyota Hilux|Toyota Fortuner,Toyota,Hilux,2016,2026,320,619,6,Gates
BLT-SERP-POLO,6Q0260849,Serpentine belt — Polo / Vivo,Volkswagen Polo|Volkswagen Polo Vivo,Volkswagen,Polo,2010,2024,185,359,8,Gates
BLT-SERP-RANG,AB39-8620-AA,Serpentine belt — Ranger 2.2,Ford Ranger,Ford,Ranger,2012,2022,295,569,5,Gates
BLT-TIM-POLO,03C109119E,Timing belt kit — Polo 1.4 / 1.6,Volkswagen Polo|Volkswagen Polo Vivo,Volkswagen,Polo,2010,2024,980,1899,3,Gates
BLT-TIM-I20,24312-2B000,Timing belt kit — i20 1.2,Hyundai i20,Hyundai,i20,2015,2020,720,1399,3,Gates
BLT-FAN-NP,11720-00Q0A,Fan belt — NP200,Nissan NP200,Nissan,NP200,2009,2022,95,189,8,Gates
HOS-RAD-HIL,16571-0K080,Top radiator hose — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,210,409,5,Toyota Genuine
HOS-RAD-POLO,6R0121101,Top radiator hose — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,165,319,5,Local OEM
HOS-HEAT-UNI,HEAT-16MM,Heater hose 16mm per metre,Most vehicles,Universal,Hose,2010,2026,35,69,30,Local OEM
CLU-HILUX,31230-0K080,Clutch kit — Hilux 2.4 / 2.8,Toyota Hilux,Toyota,Hilux,2016,2026,2850,5299,3,Luk
CLU-RANG,AB3Z-7B546-A,Clutch kit — Ranger 2.2,Ford Ranger,Ford,Ranger,2012,2022,2650,4899,2,Luk
CLU-POLO,0A3141067,Clutch kit — Polo / Vivo 1.4,Volkswagen Polo|Volkswagen Polo Vivo,Volkswagen,Polo,2010,2024,1450,2799,3,Luk
CLU-I20,41300-1R000,Clutch kit — i20 1.2 / 1.4,Hyundai i20,Hyundai,i20,2015,2026,1280,2499,2,Valeo
CLU-NP200,30100-00Q0A,Clutch kit — NP200 1.6,Nissan NP200,Nissan,NP200,2009,2022,980,1899,3,Valeo
CLU-DMAX,8-97345-120-1,Clutch kit — D-Max 2.5 / 3.0,Isuzu D-Max,Isuzu,D-Max,2013,2026,2450,4599,2,Luk
CLU-SWIFT,21200-63J00,Clutch kit — Swift 1.2,Suzuki Swift,Suzuki,Swift,2018,2026,1100,2149,2,Valeo
CV-HILUX-L,43420-0K080,CV joint outer — Hilux left,Toyota Hilux,Toyota,Hilux,2016,2026,780,1499,4,GKN
CV-HILUX-R,43410-0K080,CV joint outer — Hilux right,Toyota Hilux,Toyota,Hilux,2016,2026,780,1499,4,GKN
CV-POLO,6R0498103,CV joint outer — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,520,999,4,GKN
CV-RANG,AB3Z-3A427-A,CV joint outer — Ranger,Ford Ranger,Ford,Ranger,2012,2026,850,1649,3,GKN
WB-HILUX,90369-40064,Front wheel bearing — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,420,819,6,SKF
WB-POLO,6R0498625,Front wheel bearing — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,310,599,6,SKF
WB-RANG,AB3Z-1215-A,Front wheel bearing — Ranger,Ford Ranger,Ford,Ranger,2012,2026,480,929,4,SKF
SUS-SHK-HIL-F,48510-0K080,Front shock — Hilux (each),Toyota Hilux,Toyota,Hilux,2016,2026,720,1399,8,KYB
SUS-SHK-HIL-R,48530-0K090,Rear shock — Hilux (each),Toyota Hilux,Toyota,Hilux,2016,2026,580,1129,8,KYB
SUS-SHK-POLO,6R0413031,Front strut — Polo (each),Volkswagen Polo,Volkswagen,Polo,2010,2024,650,1249,6,Monroe
SUS-SHK-RANG,AB3Z-18124-A,Front shock — Ranger (each),Ford Ranger,Ford,Ranger,2012,2026,780,1499,6,KYB
SUS-SHK-I20,54651-1R000,Front strut — i20 (each),Hyundai i20,Hyundai,i20,2015,2026,540,1049,4,Monroe
SUS-BSH-HIL,48654-0K080,Front lower arm bush — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,185,359,10,Febi
SUS-BSH-POLO,6R0407181,Front wishbone bush — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,95,189,12,Febi
SUS-BJ-HILUX,43330-0K080,Ball joint — Hilux (each),Toyota Hilux,Toyota,Hilux,2016,2026,245,479,8,Febi
SUS-TR-HILUX,45503-0K080,Tie rod end — Hilux (each),Toyota Hilux,Toyota,Hilux,2016,2026,165,319,10,Febi
SUS-TR-POLO,6R0422811,Tie rod end — Polo (each),Volkswagen Polo,Volkswagen,Polo,2010,2024,125,249,8,Febi
SUS-ARB-HIL,48815-0K080,Anti-roll bar bush kit — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,145,289,6,Febi
SUS-LINK-POLO,6R0411317,Drop link — Polo (each),Volkswagen Polo,Volkswagen,Polo,2010,2024,95,189,8,Febi
ST-RACK-POLO,6R0422055,Steering rack — Polo (exchange),Volkswagen Polo,Volkswagen,Polo,2010,2024,2450,4599,1,Febi
ST-PUMP-HIL,44320-0K080,Power steering pump — Hilux,Toyota Hilux,Toyota,Hilux,2016,2020,1450,2799,2,Toyota Genuine
ST-RACK-HIL,44250-0K080,Steering rack — Hilux (exchange),Toyota Hilux,Toyota,Hilux,2016,2026,3200,5999,1,Toyota Genuine
RAD-HILUX,16400-0K080,Radiator — Hilux GD-6,Toyota Hilux,Toyota,Hilux,2016,2026,1650,3149,3,Denso
RAD-POLO,6R0121251,Radiator — Polo / Vivo,Volkswagen Polo|Volkswagen Polo Vivo,Volkswagen,Polo,2010,2024,980,1899,3,Nissens
RAD-RANG,AB39-8005-AB,Radiator — Ranger 2.2,Ford Ranger,Ford,Ranger,2012,2022,1480,2799,2,Motorcraft
RAD-I20,25310-1R000,Radiator — i20,Hyundai i20,Hyundai,i20,2015,2026,720,1399,3,Hyundai Mobis
RAD-DMAX,8-98155-214-0,Radiator — D-Max,Isuzu D-Max,Isuzu,D-Max,2013,2026,1550,2949,2,Isuzu Genuine
WP-HILUX,16100-0L070,Water pump — Hilux GD-6,Toyota Hilux|Toyota Fortuner,Toyota,Hilux,2016,2026,780,1499,4,Denso
WP-POLO,03C121004,Water pump — Polo 1.4 TSI,Volkswagen Polo,Volkswagen,Polo,2018,2024,620,1199,3,Gates
WP-RANG,AB39-8501-AA,Water pump — Ranger 2.2,Ford Ranger,Ford,Ranger,2012,2022,690,1329,3,Motorcraft
THM-HILUX,90916-03100,Thermostat — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,185,359,6,Denso
THM-POLO,03C121113,Thermostat — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,165,319,6,Wahler
FAN-HILUX,6600A,Radiator fan motor — Hilux,Toyota Hilux,Toyota,Hilux,2016,2026,850,1649,2,Denso
ALT-HILUX,27060-0K080,Alternator — Hilux 12V 80A,Toyota Hilux,Toyota,Hilux,2016,2026,2450,4599,2,Denso
ALT-POLO,06H903023,Alternator — Polo 1.0 / 1.4,Volkswagen Polo,Volkswagen,Polo,2018,2024,2200,3899,3,Bosch Dist
ALT-RANG,AB39-10300-AA,Alternator — Ranger,Ford Ranger,Ford,Ranger,2012,2026,2350,4399,2,Motorcraft
ALT-I20,37300-2B010,Alternator — i20,Hyundai i20,Hyundai,i20,2015,2026,1650,3149,2,Hyundai Mobis
STR-HILUX,28100-0K080,Starter motor — Hilux GD-6,Toyota Hilux,Toyota,Hilux,2016,2026,1850,3499,2,Denso
STR-POLO,02T911023,Starter motor — Polo,Volkswagen Polo,Volkswagen,Polo,2010,2024,1450,2749,2,Bosch Dist
STR-NP200,23300-00Q0A,Starter motor — NP200,Nissan NP200,Nissan,NP200,2009,2022,980,1899,2,Nissan Genuine
LMP-H4,H4-12V,Headlamp bulb H4 12V 60/55W (pair),Most older vehicles|Nissan NP200|Toyota Quantum,Universal,Bulb,2000,2026,45,95,40,Osram
LMP-H7,H7-12V,Headlamp bulb H7 12V 55W (pair),Volkswagen Polo|Hyundai i20|Toyota Corolla,Universal,Bulb,2010,2026,55,119,36,Osram
LMP-H11,H11-12V,Fog / projector bulb H11 (pair),Ford Ranger|Toyota Hilux|Hyundai Tucson,Universal,Bulb,2012,2026,85,169,20,Osram
LMP-LED-H7,LED-H7,LED headlamp conversion H7 (pair),Most projectors,Universal,Bulb,2015,2026,280,549,8,Osram
LMP-W5W,W5W-10,Park / number-plate bulb W5W (10-pack),All vehicles,Universal,Bulb,2010,2026,25,55,30,Osram
LMP-P21,P21W-10,Indicator / brake bulb P21W (10-pack),All vehicles,Universal,Bulb,2010,2026,28,59,30,Osram
LMP-PY21,PY21W-10,Amber indicator bulb PY21W (10-pack),All vehicles,Universal,Bulb,2010,2026,32,65,24,Osram
FUSE-MINI,FUSE-MINI-ASST,Mini blade fuse assortment 120pc,Workshop,Universal,Fuse,2010,2026,85,169,8,Local OEM
FUSE-STD,FUSE-STD-ASST,Standard blade fuse assortment 100pc,Workshop,Universal,Fuse,2010,2026,75,149,8,Local OEM
REL-4PIN,REL-4PIN,Relay 12V 40A 4-pin,Most vehicles,Universal,Relay,2010,2026,35,69,20,Hella
